iShares S&P Small-Cap 600 Growth ETF
Fund Holdings as of,"Apr 08, 2026"
Inception Date,"Jul 24, 2000"
Shares Outstanding,"44,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"BMI","BADGER METER INC","EQUITY","Information Technology","Equity","39,347,951.93","39,347,951.93","255,059.00","154.27","United States","NYSE","USD","1.00","USD","-","0.57","0.57"
"YOU","CLEAR SECURE INC CLASS A","EQUITY","Information Technology","Equity","38,682,970.47","38,682,970.47","767,367.00","50.41","United States","NYSE","USD","1.00","USD","-","0.56","0.56"
"OSIS","OSI SYSTEMS INC","EQUITY","Information Technology","Equity","38,659,883.99","38,659,883.99","134,017.00","288.47","United States","NASDAQ","USD","1.00","USD","-","0.56","0.56"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","EQUITY","Real Estate","Equity","38,555,922.24","38,555,922.24","1,217,043.00","31.68","United States","NYSE","USD","1.00","USD","-","0.56","0.56"
"MRCY","MERCURY SYSTEMS INC","EQUITY","Industrials","Equity","36,937,523.71","36,937,523.71","457,091.00","80.81","United States","NASDAQ","USD","1.00","USD","-","0.53","0.54"
"QRVO","QORVO INC","EQUITY","Information Technology","Equity","36,601,483.87","36,601,483.87","459,991.00","79.57","United States","NASDAQ","USD","1.00","USD","-","0.53","0.53"
"ESI","ELEMENT SOLUTIONS INC","EQUITY","Materials","Equity","36,324,470.70","36,324,470.70","984,403.00","36.90","United States","NYSE","USD","1.00","USD","-","0.53","0.53"
"APLS","APELLIS PHARMACEUTICALS INC","EQUITY","Health Care","Equity","36,091,826.55","36,091,826.55","886,995.00","40.69","United States","NASDAQ","USD","1.00","USD","-","0.52","0.53"
"FTDR","FRONTDOOR INC","EQUITY","Consumer Discretionary","Equity","35,587,778.56","35,587,778.56","624,128.00","57.02","United States","NASDAQ","USD","1.00","USD","-","0.51","0.52"
"LGND","LIGAND PHARMACEUTICALS INC","EQUITY","Health Care","Equity","35,447,091.05","35,447,091.05","170,345.00","208.09","United States","NASDAQ","USD","1.00","USD","-","0.51","0.52"
"CVSA","COVISTA INC","EQUITY","Consumer Discretionary","Equity","35,243,060.00","35,243,060.00","298,670.00","118.00","United States","NYSE","USD","1.00","USD","-","0.51","0.51"
"TDW","TIDEWATER INC","EQUITY","Energy","Equity","35,042,274.72","35,042,274.72","398,933.00","87.84","United States","NYSE","USD","1.00","USD","-","0.51","0.51"
"SXT","SENSIENT TECHNOLOGIES CORP","EQUITY","Materials","Equity","34,539,483.44","34,539,483.44","367,676.00","93.94","United States","NYSE","USD","1.00","USD","-","0.50","0.50"
"INDV","INDIVIOR PHARMACEUTICALS INC","EQUITY","Health Care","Equity","34,514,172.36","34,514,172.36","1,080,594.00","31.94","United States","NASDAQ","USD","1.00","USD","-","0.50","0.50"
"AZZ","AZZ INC","EQUITY","Industrials","Equity","34,488,514.53","34,488,514.53","258,399.00","133.47","United States","NYSE","USD","1.00","USD","-","0.50","0.50"
"CVCO","CAVCO INDUSTRIES INC","EQUITY","Consumer Discretionary","Equity","34,306,069.95","34,306,069.95","67,170.00","510.74","United States","NASDAQ","USD","1.00","USD","-","0.50","0.50"
"PSMT","PRICESMART INC","EQUITY","Consumer Staples","Equity","34,239,263.40","34,239,263.40","218,502.00","156.70","United States","NASDAQ","USD","1.00","USD","-","0.50","0.50"
