3/26/2026,131.79,131.78,127.08,124.36,122.59,, (3.22), (0.01), (4.70), (2.72), (1.77),,,-6.9808%,,-5.9134%,0,-5.7448%,-1.2900%,8.2117%,,-6.9737%,,-6.9737%,,-5.9750%,-6.8774%,0.0640%,,-3.5332%,,-3.5332%,,-5.6311%,-1.6648%,2.6036%,,0,0,0,0
3/27/2026,121.34,121.32,122.06,120.58,120.76,, (1.25), (0.02),0.74, (1.48),0.18,,,-0.4780%,,0.8325%,0,-4.0367%,-0.5733%,4.7792%,,-0.4616%,,-0.4616%,,-5.5303%,-4.6932%,-3.1927%,,-1.0650%,,-1.0650%,,-6.2409%,-3.9653%,0.1564%,,0,0,0,0
3/30/2026,122.01,119.89,119.92,116.57,116.13,,1.25, (2.12),0.03, (3.35), (0.44),,,-4.8193%,,-3.5554%,0,-9.8364%,-5.1849%,2.6393%,,-3.1362%,,-3.1362%,,-8.2927%,-8.6185%,-6.7717%,,-3.1604%,,-3.1604%,,-8.0085%,-9.0682%,-3.2832%,,0,0,0,0
3/31/2026,118.62,119.56,118.3,122.06,122.78,,2.49,0.94, (1.26),3.76,0.72,,,3.5070%,,1.7384%,0,-5.2536%,-2.2564%,5.7400%,,2.6932%,,2.6932%,,-5.2794%,-4.8474%,-4.0785%,,3.7870%,,3.7870%,,-2.8936%,-4.2990%,-0.5671%,,0,0,0,0
4/1/2026,126.06,126.73,126.61,126.32,124.85,,3.28,0.67, (0.12), (0.29), (1.47),,,-0.9599%,,-1.1648%,0,-8.0627%,-6.4311%,-0.3231%,,-1.4835%,,-1.4835%,,-9.3618%,-7.4073%,-8.4866%,,-1.3901%,,-1.3901%,,-5.3618%,-6.6831%,-3.4710%,,0,0,0,0
4/2/2026,121.1,123.94,126.41,125.83,126.67,, (3.75),2.84,2.47, (0.58),0.84,,,4.5995%,,3.1268%,1,0.9775%,-4.7673%,-0.4577%,,2.2027%,,2.2027%,,-0.1854%,-6.1604%,-8.1770%,,0.2057%,,0.2057%,,-1.6229%,-7.2540%,-5.7502%,,1,1,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-0.0199%,,0.9775%,-4.7673%,-0.4577%,,,,-0.0218%,,-0.1854%,-6.1604%,-8.1770%,,,,-0.0294%,,-1.6229%,-7.2540%,-5.7502%,,,,,
,,,,,16.14,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Since beginning of year,,,,,,,47.93, (9.35), (4.77), (12.94), (4.73),16.14,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, (35.43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Since market topped on October 29th,,,,,,,26.29, (18.33), (7.64), (12.05), (23.70), (35.43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, (27.46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Since market bottomed on October 10th,,,,,,,36.94, (13.49), (3.45), (18.05), (29.41), (27.46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakdown of 2025/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     January 1 - January 23,,,,,,,11.39,1.67,2.08,5.6, (2.15),18.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     January 24 - February 19,,,,,,, (10.77), (2.99), (9.06), (9.62),7.24, (25.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     February 20 - March 13,,,,,,, (6.20), (15.32), (2.16), (1.45),1.35, (23.78),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     March 14 - April 2,,,,,,, (6.92), (1.86),7.25, (3.19),4.75,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     April 3 - April 7,,,,,,, (15.26),5.9, (1.41),1.6, (2.82), (11.99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     April 8 - May 16,,,,,,,9.16,5.57,1.43,9.37,2.72,28.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     May 17 - May 23,,,,,,, (8.57),4.33, (0.04),0.81, (1.75), (5.22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     May 24 - June 12,,,,,,,2.08, (2.24),4.72, (0.85),0.85,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     June 13 - July 25,,,,,,,8.76, (0.47),1.19,7.1,1.94,18.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     July 26 - Aug 1,,,,,,, (0.82),3.14, (0.27),0.4,0.83,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Aug 2 - Aug 13,,,,,,,16.63,4.9, (3.23), (0.78),2.88,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Aug 14 - Sept 2,,,,,,, (13.32),2.37,3.13,0.72,4.99, (2.11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Sept 3 - Sept 22,,,,,,,10.19,1.81, (3.43),1.21, (0.26),9.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Sept 23 - Oct 10,,,,,,,14.64, (2.67), (1.52), (5.81),4.11,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Oct 11 - Dec 31,,,,,,,18.9,5.74, (16.16), (5.49), (26.11), (23.12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Jan 1 - Apr 3,,,,,,,18.04, (19.23),12.71, (12.56), (3.30), (4.34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,47.93, (9.35), (4.77), (12.94), (4.73),16.14,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Last 10 days,,,,,,, (0.47), (0.97),1.29, (7.12), (2.32), (9.59),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Last 5 days,,,,,,,2.02,2.31,1.86, (1.94), (0.17),4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
